instance,size,battery_capacity,method,seed,feasible,objective_value,runtime_seconds,vehicle_count,capacity_violations,time_window_violations,energy_violations,coverage_violations,charging_count,charging_time,first_infeasible_step,total_violation_count,raw_json
week04_generated_200_battery_60_seed_2014,200,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,2014,False,2697.611141558043,0.4716094580016943,13,0,0,28,0,33,176.69913010663564,route 3 leg 11 C107->C192: battery depleted,28,results/week05/raw/week04_generated_200_battery_60_seed_2014_or_tools_vrptw_anticipatory_repair.json
week04_generated_200_battery_60_seed_2014,200,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,False,3229.3612142252705,3.3750219990015466,18,0,0,4,0,41,216.16131682799667,route 3 leg 11 C107->D0: battery depleted,4,results/week05/raw/week04_generated_200_battery_60_seed_2014_or_tools_vrptw_anticipatory_split_repair.json
week04_generated_200_battery_60_seed_2014,200,60.0,GA_VRPTW,2014,False,14819.502807442323,23.36263795800005,184,0,0,145,0,0,0.0,route 1 leg 2 C55->D0: battery depleted,145,results/week05/raw/week04_generated_200_battery_60_seed_2014_ga_vrptw.json
week04_generated_200_battery_60_seed_2014,200,60.0,GA_VRPTW_CHARGING_REPAIR,2014,False,15646.983257541797,23.363611958000547,184,0,0,86,0,59,302.05205192504917,route 1 leg 2 C55->D0: battery depleted,86,results/week05/raw/week04_generated_200_battery_60_seed_2014_ga_vrptw_charging_repair.json
week04_generated_200_battery_60_seed_2014,200,60.0,GA_VRPTW_ANTICIPATORY_REPAIR,2014,False,17784.545894007726,23.368506792001426,184,0,0,5,0,221,964.7125452813999,route 7 leg 2 C32->D0: battery depleted,5,results/week05/raw/week04_generated_200_battery_60_seed_2014_ga_vrptw_anticipatory_repair.json
week04_generated_200_battery_60_seed_2014,200,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,False,17784.545894007726,23.46680824899886,184,0,0,5,0,221,964.7125452813999,route 7 leg 2 C32->D0: battery depleted,5,results/week05/raw/week04_generated_200_battery_60_seed_2014_ga_vrptw_anticipatory_split_repair.json
week04_generated_200_battery_60_seed_2015,200,60.0,OR_TOOLS_VRPTW,2015,False,1827.1139195708981,0.4351512499997625,13,0,0,131,0,0,0.0,route 1 leg 7 C140->C118: battery depleted,131,results/week05/raw/week04_generated_200_battery_60_seed_2015_or_tools_vrptw.json
week04_generated_200_battery_60_seed_2015,200,60.0,OR_TOOLS_VRPTW_CHARGING_REPAIR,2015,False,1827.1139195708981,0.43595300000015413,13,0,0,131,0,0,0.0,route 1 leg 7 C140->C118: battery depleted,131,results/week05/raw/week04_generated_200_battery_60_seed_2015_or_tools_vrptw_charging_repair.json
week04_generated_200_battery_60_seed_2015,200,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,2015,False,2505.230106440681,0.4375845829999889,13,0,0,30,0,29,156.2021609300178,route 2 leg 20 C28->C124: battery depleted,30,results/week05/raw/week04_generated_200_battery_60_seed_2015_or_tools_vrptw_anticipatory_repair.json
week04_generated_200_battery_60_seed_2015,200,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,False,3246.7118118347407,3.324863499999992,18,0,0,4,0,41,219.7847117546261,route 2 leg 20 C28->D0: battery depleted,4,results/week05/raw/week04_generated_200_battery_60_seed_2015_or_tools_vrptw_anticipatory_split_repair.json
week04_generated_200_battery_60_seed_2015,200,60.0,GA_VRPTW,2015,False,15925.103429984712,23.257949875000122,189,0,0,168,0,0,0.0,route 1 leg 2 C25->D0: battery depleted,168,results/week05/raw/week04_generated_200_battery_60_seed_2015_ga_vrptw.json
week04_generated_200_battery_60_seed_2015,200,60.0,GA_VRPTW_CHARGING_REPAIR,2015,False,16873.23684875565,23.25906329099962,189,0,0,86,0,82,393.06352069006425,route 1 leg 2 C25->D0: battery depleted,86,results/week05/raw/week04_generated_200_battery_60_seed_2015_ga_vrptw_charging_repair.json
week04_generated_200_battery_60_seed_2015,200,60.0,GA_VRPTW_ANTICIPATORY_REPAIR,2015,False,18987.958731111285,23.263945792001323,189,0,0,7,0,240,1048.203605529284,route 38 leg 2 C14->D0: battery depleted,7,results/week05/raw/week04_generated_200_battery_60_seed_2015_ga_vrptw_anticipatory_repair.json
week04_generated_200_battery_60_seed_2015,200,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,False,18987.958731111285,23.33329570800015,189,0,0,7,0,240,1048.203605529284,route 38 leg 2 C14->D0: battery depleted,7,results/week05/raw/week04_generated_200_battery_60_seed_2015_ga_vrptw_anticipatory_split_repair.json
week04_generated_200_battery_60_seed_2016,200,60.0,OR_TOOLS_VRPTW,2016,False,1921.9294461990874,0.3474291250004171,13,0,0,126,0,0,0.0,route 1 leg 4 C124->C28: battery depleted,126,results/week05/raw/week04_generated_200_battery_60_seed_2016_or_tools_vrptw.json
week04_generated_200_battery_60_seed_2016,200,60.0,OR_TOOLS_VRPTW_CHARGING_REPAIR,2016,False,1921.9294461990874,0.34819304200027545,13,0,0,126,0,0,0.0,route 1 leg 4 C124->C28: battery depleted,126,results/week05/raw/week04_generated_200_battery_60_seed_2016_or_tools_vrptw_charging_repair.json
week04_generated_200_battery_60_seed_2016,200,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,2016,False,2620.190052894086,0.3498550840013195,13,0,0,35,0,29,149.92628670047796,route 1 leg 15 C82->C170: battery depleted,35,results/week05/raw/week04_generated_200_battery_60_seed_2016_or_tools_vrptw_anticipatory_repair.json
week04_generated_200_battery_60_seed_2016,200,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,False,3622.3570824500794,4.283160124999995,20,0,0,3,0,49,250.37125301903754,route 7 leg 14 C143->D0: battery depleted,3,results/week05/raw/week04_generated_200_battery_60_seed_2016_or_tools_vrptw_anticipatory_split_repair.json
week04_generated_200_battery_60_seed_2016,200,60.0,GA_VRPTW,2016,False,15469.077046311444,23.405595500000345,187,0,0,158,0,0,0.0,route 1 leg 2 C152->D0: battery depleted,158,results/week05/raw/week04_generated_200_battery_60_seed_2016_ga_vrptw.json
week04_generated_200_battery_60_seed_2016,200,60.0,GA_VRPTW_CHARGING_REPAIR,2016,False,16367.343684454358,23.406650458000513,187,0,0,82,0,76,376.5679320214365,route 2 leg 2 C60->D0: battery depleted,82,results/week05/raw/week04_generated_200_battery_60_seed_2016_ga_vrptw_charging_repair.json
week04_generated_200_battery_60_seed_2016,200,60.0,GA_VRPTW_ANTICIPATORY_REPAIR,2016,False,18182.114455045303,23.411262250001528,187,0,0,9,0,222,968.2186217914866,route 9 leg 2 C127->D0: battery depleted,9,results/week05/raw/week04_generated_200_battery_60_seed_2016_ga_vrptw_anticipatory_repair.json
week04_generated_200_battery_60_seed_2016,200,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,False,18182.114455045303,23.489643208000416,187,0,0,9,0,222,968.2186217914866,route 9 leg 2 C127->D0: battery depleted,9,results/week05/raw/week04_generated_200_battery_60_seed_2016_ga_vrptw_anticipatory_split_repair.json
